date,lesson,views,name
2020/07/17 21:09:11,1-0,8472,Welcome to Udacity
2020/07/17 21:09:11,1-1,4889,Why Machine Learning?
2020/07/17 21:09:11,1-2,4460,Course Overview
2020/07/17 21:09:11,2-0,4575,Lesson Overview
2020/07/17 21:09:11,2-1,4095,What is Machine Learning?
2020/07/17 21:09:11,2-2,3756,Applications of Machine Learning
2020/07/17 21:09:11,2-3,3411,Brief History of Machine Learning
2020/07/17 21:09:11,2-4,3068,The Data Science Process
2020/07/17 21:09:11,2-5,2896,Common Types of Data
2020/07/17 21:09:11,2-6,2455,Tabular Data
2020/07/17 21:09:11,2-7,2407,Tabular Data
